"Date"	"Value"	"Out4Desv"
2005-09-16	76	NA
2005-09-17	NA	NA
2005-09-18	NA	NA
2005-09-19	NA	NA
2005-09-20	80	NA
2005-09-21	78	NA
2005-09-22	79	NA
2005-09-23	NA	NA
2005-09-24	77	NA
2005-09-25	NA	NA
2005-09-26	NA	NA
2005-09-27	82	NA
2005-09-28	NA	NA
2005-09-29	85	NA
2005-09-30	79	NA
2005-10-01	81	NA
2005-10-02	83	NA
2005-10-03	87	NA
2005-10-04	83	NA
2005-10-05	NA	NA
2005-10-06	NA	NA
2005-10-07	NA	NA
2005-10-08	NA	NA
2005-10-09	NA	NA
2005-10-10	74	NA
2005-10-11	85	NA
2005-10-12	NA	NA
2005-10-13	76	NA
2005-10-14	NA	NA
2005-10-15	NA	NA
2005-10-16	NA	NA
2005-10-17	NA	NA
2005-10-18	79	NA
2005-10-19	NA	NA
2005-10-20	NA	NA
2005-10-21	75	NA
2005-10-22	84	NA
2005-10-23	NA	NA
2005-10-24	NA	NA
2005-10-25	NA	NA
2005-10-26	86	NA
2005-10-27	83	NA
2005-10-28	85	NA
2005-10-29	NA	NA
2005-10-30	86	NA
2005-10-31	82	NA
2005-11-01	82	NA
2005-11-02	84	NA
2005-11-03	NA	NA
2005-11-04	80	NA
2005-11-05	NA	NA
2005-11-06	NA	NA
2005-11-07	74	NA
2005-11-08	NA	NA
2005-11-09	81	NA
2005-11-10	75	NA
2005-11-11	NA	NA
2005-11-12	NA	NA
2005-11-13	NA	NA
2005-11-14	83	NA
2005-11-15	80	NA
2005-11-16	81	NA
2005-11-17	81	NA
2005-11-18	76	NA
2005-11-19	89	NA
2005-11-20	81	NA
2005-11-21	92	NA
2005-11-22	87	NA
2005-11-23	81	NA
2005-11-24	89	NA
2005-11-25	93	NA
2005-11-26	83	NA
2005-11-27	NA	NA
2005-11-28	77	NA
2005-11-29	82	NA
2005-11-30	79	NA
2005-12-01	81	NA
2005-12-02	NA	NA
2005-12-03	77	NA
2005-12-04	83	NA
2005-12-05	81	NA
2005-12-06	NA	NA
2005-12-07	NA	NA
2005-12-08	NA	NA
2005-12-09	NA	NA
2005-12-10	78	NA
2005-12-11	82	NA
2005-12-12	83	NA
2005-12-13	NA	NA
2005-12-14	80	NA
2005-12-15	76	NA
2005-12-16	NA	NA
