Ambiente,Clon,pH,matOrg,Fosforo,Aluminio,Potasio,Calcio,Magnesio,Sodio,Repeticion,indiceMazorca,indiceGrano,fenolesTot,actAntxd,porcAceite,acPalmitico,acEstearico,acOleico,acLinoleico,porcCenizas,rT_C,Catequina,Epicatequina
Santander,SCC 80,6.8,12.72,80.94,0,0.38,19.28,3.64,0.05,2,10,1.877,38.498,1173.571,45.813,27.701,33.023,34.252,3.721,3.405,3.42,14.582,12.735
Santander,SCC 80,6.8,12.72,80.94,0,0.38,19.28,3.64,0.05,3,10,2.101,39.273,1091.713,45.932,27.714,33.05,34.272,3.705,3.574,3.417,13.655,12.856
Huila,CCN 51,5.97,4.38,74.42,0,0.33,6.29,1.91,0.05,1,19,1.05,32.099,1446.47,48.76,28.389,32.416,33.929,3.911,5.399,5.471728763,7.094,56.017
Huila,CCN 51,5.97,4.38,74.42,0,0.33,6.29,1.91,0.05,2,19,1.05,32.988,1417.365,48.035,28.298,32.494,33.886,3.882,3.495,5.451200576,6.537,57
Huila,CCN 51,5.97,4.38,74.42,0,0.33,6.29,1.91,0.05,3,19,1.05,31.875,1524.087,48.398,28.322,32.447,33.901,3.886,3.618,5.576373499,6.816,56.508
Huila,FEAR 5,5.97,4.38,74.42,0,0.33,6.29,1.91,0.05,1,17,1.341,35.346,1547.766,43.543,28.803,32.408,34.213,3.255,3.484,4.213023694,7.015,57.174
Huila,FEAR 5,5.97,4.38,74.42,0,0.33,6.29,1.91,0.05,2,17,1.34,34.51,1564.986,44.325,28.662,32.323,34.409,3.277,2.923,4.36930332,6.946,55.378
Huila,FEAR 5,5.97,4.38,74.42,0,0.33,6.29,1.91,0.05,3,17,1.34,34.35,1567.948,43.934,28.835,32.389,34.21,3.258,3.125,4.684956792,6.98,56.276
Huila,FEC 2,5.97,4.38,74.42,0,0.33,6.29,1.91,0.05,1,18,1.339,25.656,1127.67,45.509,29.452,31.795,34.297,3.088,4.338,5.693184835,6.213,46.237
Huila,FEC 2,5.97,4.38,74.42,0,0.33,6.29,1.91,0.05,2,18,1.339,26.709,1146.003,43.902,29.43,31.783,34.332,3.088,3.821,5.314922625,6.294,46.262
Huila,FEC 2,5.97,4.38,74.42,0,0.33,6.29,1.91,0.05,3,18,1.339,27.117,1208.023,44.705,29.443,31.764,34.335,3.105,3.865,5.415887074,6.253,46.249
Huila,FLE 3,5.97,4.38,74.42,0,0.33,6.29,1.91,0.05,1,20,1.057,15.917,1081.636,42.972,26.732,34.984,33.409,3.498,4.225,4.719336333,8.313,34.165
Huila,FLE 3,5.97,4.38,74.42,0,0.33,6.29,1.91,0.05,2,20,1.057,15.229,1074.773,41.072,26.873,34.772,33.438,3.53,3.956,4.299028647,7.769,33.961
Huila,FLE 3,5.97,4.38,74.42,0,0.33,6.29,1.91,0.05,3,20,1.057,15.796,1096.713,42.022,26.743,34.957,33.411,3.518,4.003,4.189311129,8.041,34.063
Huila,FSA 12,5.97,4.38,74.42,0,0.33,6.29,1.91,0.05,1,27,1.059,28.984,1188.008,37.459,24.933,34.502,35.992,3.232,3.972,5.323787954,6.944,45.79
Huila,FSA 12,5.97,4.38,74.42,0,0.33,6.29,1.91,0.05,2,27,1.059,28.831,1184.162,36.018,24.939,34.521,35.981,3.229,3.373,5.211323221,6.377,44.732
Huila,FSA 12,5.97,4.38,74.42,0,0.33,6.29,1.91,0.05,3,27,1.059,28.513,1157.905,36.738,24.963,34.449,35.997,3.249,3.613,5.182797627,6.66,45.261
Huila,FSV 41,5.97,4.38,74.42,0,0.33,6.29,1.91,0.05,1,14,1.613,24.299,993.415,40.05,29.671,30.208,35.194,3.302,4.35,2.916400767,9.11,39.907
Huila,FSV 41,5.97,4.38,74.42,0,0.33,6.29,1.91,0.05,2,14,1.613,25.035,1020.807,38.82,29.802,29.846,35.304,3.418,4.138,2.954784036,8.999,39.485
