"","Dim 1","Dim 2","Dim 3","Dim 4","Dim 5","Dim 6","Dim 7","Dim 8"
"Arauca-CCN51",3.57385927644434,3.81883434516373,13.0929191048734,1.07662905758863,0.167455600783327,0.59435844013261,3.05670176015257,6.66838825212307
"Arauca-FEAR5",0.837896265150411,0.64471279011643,0.0406236376547279,8.70791325914276,0.0110538104568928,4.47602043927325,11.9459961055568,1.31387853958526
"Arauca-FEC2",0.674159794637638,0.331234975357507,0.189232313886231,19.2647873648776,9.76439197215499,2.38764952774754,0.0112089437403077,0.182714127786444
"Arauca-FLE3",0.58420519384452,0.18492496460778,16.6199038902034,0.831894133156183,4.28642693583045,2.5530054305424,0.0171184643812858,11.0112953742955
"Arauca-FSA12",8.63582387832563,0.533417867304911,3.95713240121053,1.6632175724926,0.696702679898611,0.00207899472795525,1.04489353735589,5.58414097411501
"Arauca-FSV41",3.39713383206713,1.01087161098813,4.74990841305705,1.36977115998362,8.22318281573435,6.00330527533235,0.0430660628515209,0.00767865260240634
"Arauca-ICS95",6.76828156548634,4.73675622420697,3.53437470355123,0.00020171685728579,0.0157935107063742,2.35060881750979,0.0000855151229658603,0.391229577258242
"Arauca-SCC23",2.72003474355089,3.55482385115732,1.19680714581274,3.16712883956378,0.175803911658723,0.178313240237369,1.17943639816399,0.373327373290115
"Arauca-SCC55",0.0800491475175945,9.502087393268,0.203750167501539,2.50354763881785,0.0586071852557491,1.41496176318456,2.33341293075471,0.716589073655509
"Arauca-SCC80",0.279831431466489,8.46755977209164,2.22439492337659,1.23313965954077,1.5164740460569,0.164361062657383,8.03963583666756,1.48847437273133
"Huila-CCN51",3.84892358465394,2.03565441162924,8.06189678850568,0.567219395924754,4.05162341150533,0.859317865062701,0.846632542675326,8.30217704233699
"Huila-FEAR5",6.480944364161,0.0398185704906973,1.43187650817266,0.439800169185454,1.03071737501036,1.5177472854989,2.51360560860604,4.92015710194357
"Huila-FEC2",2.86427096028032,1.89022294844507,0.511051489835858,13.2057955982463,0.208881383302917,8.31137365023304,0.1678508310223,0.120871988667023
"Huila-FLE3",8.31807299164431,0.481126691330486,12.5070578234931,0.162315721213652,0.871105560267622,0.644293168976207,5.886731176109,0.0520748261901032
"Huila-FSA12",1.17528867542416,0.193492947096586,0.101835253621043,1.18066238851364,7.62927306640073,0.45439949205097,0.228093295047311,20.29998615995
"Huila-FSV41",0.0610661093983556,2.21728508923467,1.10903961481047,3.97098517654911,0.0189511975277798,26.113497605642,0.535602401044074,0.0213852681337079
"Huila-ICS95",0.000513091549187779,6.37860748703248,0.00655327772438201,1.41832474430363,0.14462059207064,1.86134208494217,2.83453211234624,10.3473465420323
"Huila-SCC23",0.890943485185698,6.26847163058658,0.029113363523744,5.96755660864078,0.000126495305229046,0.106167106316867,5.42887828260266,4.00931844422531
"Huila-SCC55",1.51751131782944,0.944097851004203,0.101234966274747,1.40247320146159,7.09633660083021,0.217804880820214,0.380094276701932,0.00176910464023441
"Huila-SCC80",3.28413518082894,3.41230707770737,0.049611201143062,0.948216804230074,8.78242523698709,0.913568415751838,5.05328985681084,2.01766533864698
"Santander-CCN51",7.30003127801269,10.7737366127894,1.86069102918198,3.14976742994373,2.57197429407983,1.18737673858371,4.87946702184295,3.23662209906063
"Santander-FEAR5",1.72173632914555,0.642909925998008,12.6953497183574,0.0591630543559447,2.91604264958867,6.96063721332446,1.97777794073838,2.77004830701538
"Santander-FEC2",1.24115866396149,0.051182935453605,4.18069064925028,3.82201687656267,10.504133498198,0.145041094929688,6.95577374168232,3.76017851245195
"Santander-FLE3",12.0889832293059,0.607907013896041,0.159573067116797,4.83024448768759,6.13746939240289,3.19116503213353,1.088076286058,0.164175660228293
"Santander-FSA12",4.09713061204625,14.1882093372201,0.518739393493168,0.195170885433383,1.38244319136752,0.759080741717572,0.360697001582494,5.10292657540507
"Santander-FSV41",2.81445672322071,3.14071690528293,2.41837727548573,0.352399400067796,1.12954607467208,19.7195967208671,1.36683190278622,3.11951859070906
"Santander-ICS95",1.87581650783465,0.033152396923244,0.783118282710255,2.0524198714647,0.868416350014835,0.309103360781447,9.22889522573552,1.6843717418
"Santander-SCC23",6.2221777708589,0.192655839524485,5.83437926394488,0.0550571668511796,2.12519170121302,6.37546971108599,0.813166824662066,0.756375602949528
"Santander-SCC55",6.5873037487147,6.01035787506597,1.54803734182217,3.93247424046542,8.92560198495761,0.184091702458629,17.3182915175981,0.635546269345631
"Santander-SCC80",0.0582602474527392,7.71286265902616,0.282726990405029,12.4697063768775,8.68922747576137,0.0442631374778201,4.46415659960065,0.939768506825426
