"","Dim 1","Dim 2","Dim 3","Dim 4","Dim 5","Dim 6","Dim 7"
"Etanol_0",0.193728281567615,0.000787671183839758,0.385775909977548,0.00381444047898924,0.0293283219894266,0.0428979861827762,0.0241281734037902
"Etanol_1",0.193728281567616,0.000787671183839778,0.385775909977549,0.00381444047898923,0.0293283219894265,0.0428979861827759,0.0241281734037905
"2-pentanol acetato_0",0.00296641597450745,0.395734499662076,0.00304585603731312,0.0717255877306098,0.0140698417630959,0.17573565807529,0.00284808029437432
"2-pentanol acetato_1",0.00296641597450749,0.395734499662076,0.00304585603731306,0.07172558773061,0.014069841763096,0.175735658075291,0.0028480802943743
"3-Metil-2-butanol_0",0.0827476110375633,0.437356551529482,0.127752606167174,0.0439495626022141,0.0725789274318818,0.000145074183716969,0.0000623094283723582
"3-Metil-2-butanol_1",0.0827476110375637,0.437356551529482,0.127752606167174,0.0439495626022142,0.0725789274318815,0.000145074183716975,0.0000623094283723661
"3-Metil-1-butanol_0",0.379783556972585,0.0304938556790575,0.0964600914581246,0.00388626227358095,0.0976595031699029,0.0224110860689612,0.0184864671954545
"3-Metil-1-butanol_1",0.379783556972586,0.0304938556790577,0.0964600914581246,0.00388626227358089,0.0976595031699029,0.0224110860689612,0.0184864671954546
"Etilbenceno_0",0.171512077156203,0.0590283592424133,0.00486300134894697,0.129606332335719,0.00412423403382951,0.0158812894027995,0.0427866871142415
"Etilbenceno_1",0.171512077156203,0.0590283592424131,0.0048630013489469,0.129606332335719,0.00412423403382959,0.0158812894027995,0.0427866871142413
"a-Pineno_0",0.0298637930154837,0.0924526997610178,0.163421701169697,0.0632407593733176,0.105402736391552,0.065952100984978,0.0742619680005818
"a-Pineno_1",0.0298637930154839,0.0924526997610179,0.163421701169697,0.0632407593733174,0.105402736391551,0.065952100984978,0.0742619680005818
"1-etil-2-metilbenceno_0",0.198841560790574,0.0242616529466433,0.00466919760953768,0.146727007201519,0.000387962279604651,0.0928698607497647,0.00230571994866143
"1-etil-2-metilbenceno_1",0.198841560790574,0.0242616529466432,0.00466919760953769,0.146727007201519,0.000387962279604656,0.0928698607497647,0.00230571994866144
"2-heptanona_0",0.065656319903977,0.000831306617678164,0.000137221775065852,0.10613592639103,0.00527842625578703,0.0534440018574065,0.0231655275182418
"2-heptanona_1",0.0656563199039768,0.000831306617678165,0.000137221775065846,0.10613592639103,0.00527842625578708,0.0534440018574066,0.0231655275182418
"3-Metil-1-butanol acetato_0",0.0721889107121584,0.143054532313159,0.000550208081612922,0.171742977305003,0.197585119189387,0.000284986064904848,0.00161006611111088
"3-Metil-1-butanol acetato_1",0.0721889107121582,0.143054532313159,0.000550208081612933,0.171742977305003,0.197585119189387,0.00028498606490484,0.00161006611111087
"4-Metil-2-pentanol_0",0.0500701237565168,0.0767233306789563,0.00700014413750932,0.167868298849086,0.161225584942981,0.0608993118577852,0.00504203086137963
"4-Metil-2-pentanol_1",0.0500701237565168,0.0767233306789563,0.00700014413750929,0.167868298849086,0.16122558494298,0.0608993118577851,0.00504203086137964
"Propilbenceno_0",0.0752022252655519,0.140974373860522,0.165820034855544,0.115779236792092,0.140454106476125,0.00343559934789605,0.00585084367251716
"Propilbenceno_1",0.075202225265552,0.140974373860522,0.165820034855545,0.115779236792092,0.140454106476125,0.00343559934789604,0.00585084367251716
"Benzoilformato de etilo_0",0.438398419556448,0.048207667447749,0.00352738120624621,0.0532856204732518,0.000220883310330365,0.0177214143094883,0.00786443992577136
"Benzoilformato de etilo_1",0.438398419556449,0.0482076674477491,0.00352738120624621,0.0532856204732518,0.000220883310330369,0.0177214143094883,0.00786443992577134
"Éster etílico del ácido hexanoico_0",0.00050133934581539,0.0404296863704563,0.022949852366409,0.00000228447515036848,0.48080424754344,0.0000176413918124012,0.119524400246482
"Éster etílico del ácido hexanoico_1",0.000501339345815385,0.0404296863704563,0.0229498523664091,0.00000228447515036865,0.48080424754344,0.0000176413918124028,0.119524400246482
"Metil pirazina_0",0.00651170635488954,0.232601825739312,0.0771353170025238,0.258614986238072,0.00687946874469736,0.00142706699920524,0.065443147311641
"Metil pirazina_1",0.00651170635488948,0.232601825739312,0.0771353170025237,0.258614986238072,0.00687946874469729,0.00142706699920523,0.065443147311641
"3-hidroxi-2-butanona_0",0.363874734996919,0.00965060745631163,0.0518923426017214,0.0846409453900169,0.0301499916593122,0.0114364565163163,0.00931707064073248
"3-hidroxi-2-butanona_1",0.363874734996919,0.00965060745631164,0.0518923426017214,0.0846409453900168,0.0301499916593121,0.0114364565163164,0.00931707064073248
"2 Heptanol_0",0.409817469154336,0.00244663286024207,0.0683384031768463,0.0258808251667917,0.00978355181800227,0.000247835454176426,0.0230910388157125
"2 Heptanol_1",0.409817469154337,0.00244663286024205,0.0683384031768462,0.0258808251667917,0.00978355181800226,0.000247835454176427,0.0230910388157125
