pendiente,ancho_banca,sinuosidad,amp_meandros,long_meandros,t_movilidad,t_movilidad_max,caudal_medio,caudal_maximo,caudal_50,caudal_banca,velocidad,ancho_superficial,diametro_promedio,dev_granulometrica,coef_uniformidad,carga_media,varName,periodo
0.89,-0.89,0.14,-0.77,-0.89,0.32,-0.2,-0.89,-0.89,-0.89,-0.83,0.26,-0.89,0.88,0.94,1,-0.77,coef_uniformidad,4
-0.94,0.66,-0.66,0.2,0.94,-0.78,-0.43,0.94,0.94,0.94,0.94,-0.09,0.77,-0.62,-0.6,-0.77,1,carga_media,4
-0.81,0.83,-0.6,0.37,1,-0.77,-0.31,1,0.94,0.94,0.89,-0.26,0.66,-0.79,-0.77,-0.89,0.94,caudal_medio,5
-0.9,0.77,-0.54,0.49,0.94,-0.6,-0.09,0.94,1,1,0.94,-0.14,0.54,-0.88,-0.89,-0.94,0.89,caudal_maximo,5
-0.9,0.77,-0.54,0.49,0.94,-0.6,-0.09,0.94,1,1,0.94,-0.14,0.54,-0.88,-0.89,-0.94,0.89,caudal_50,5
-0.75,0.71,-0.71,0.2,0.89,-0.66,-0.2,0.89,0.94,0.94,1,0.03,0.49,-0.71,-0.71,-0.83,0.94,caudal_banca,5
0.38,-0.31,-0.14,-0.54,-0.26,0.37,-0.2,-0.26,-0.14,-0.14,0.03,1,-0.49,0.44,0.37,0.26,-0.09,velocidad,5
-0.35,0.94,-0.03,0.37,0.66,-0.43,0.09,0.66,0.54,0.54,0.49,-0.49,1,-0.44,-0.54,-0.71,0.6,ancho_superficial,5
0.99,-0.62,0.26,-0.79,-0.79,0.44,-0.18,-0.79,-0.88,-0.88,-0.71,0.44,-0.44,1,0.97,0.88,-0.62,diametro_promedio,5
0.93,-0.71,0.14,-0.83,-0.77,0.31,-0.31,-0.77,-0.89,-0.89,-0.71,0.37,-0.54,0.97,1,0.94,-0.6,dev_granulometrica,5
0.84,-0.89,0.26,-0.66,-0.89,0.43,-0.14,-0.89,-0.94,-0.94,-0.83,0.26,-0.71,0.88,0.94,1,-0.77,coef_uniformidad,5
-0.67,0.77,-0.77,0.09,0.94,-0.83,-0.43,0.94,0.89,0.89,0.94,-0.09,0.6,-0.62,-0.6,-0.77,1,carga_media,5
-0.35,0.83,-0.6,0.37,0.94,-0.66,-0.54,1,0.94,0.94,0.77,-0.03,0.66,-0.79,-0.77,-0.89,0.94,caudal_medio,6
-0.52,0.77,-0.54,0.49,0.89,-0.6,-0.49,0.94,1,1,0.83,-0.09,0.54,-0.88,-0.89,-0.94,0.89,caudal_maximo,6
-0.52,0.77,-0.54,0.49,0.89,-0.6,-0.49,0.94,1,1,0.83,-0.09,0.54,-0.88,-0.89,-0.94,0.89,caudal_50,6
-0.23,0.54,-0.6,0.09,0.66,-0.71,-0.77,0.77,0.83,0.83,1,0.09,0.6,-0.53,-0.6,-0.77,0.89,caudal_banca,6
0.81,0.09,-0.14,-0.54,0.2,0.09,0.03,-0.03,-0.09,-0.09,0.09,1,-0.14,0.44,0.37,0.14,0.09,velocidad,6
-0.12,0.77,-0.03,0.37,0.43,-0.26,-0.37,0.66,0.54,0.54,0.6,-0.14,1,-0.44,-0.54,-0.71,0.6,ancho_superficial,6
0.81,-0.71,0.26,-0.79,-0.71,0.35,0.18,-0.79,-0.88,-0.88,-0.53,0.44,-0.44,1,0.97,0.88,-0.62,diametro_promedio,6
0.75,-0.77,0.14,-0.83,-0.66,0.26,0.14,-0.77,-0.89,-0.89,-0.6,0.37,-0.54,0.97,1,0.94,-0.6,dev_granulometrica,6
0.52,-0.89,0.26,-0.66,-0.77,0.37,0.31,-0.89,-0.94,-0.94,-0.77,0.14,-0.71,0.88,0.94,1,-0.77,coef_uniformidad,6
-0.2,0.66,-0.77,0.09,0.89,-0.83,-0.77,0.94,0.89,0.89,0.89,0.09,0.6,-0.62,-0.6,-0.77,1,carga_media,6
