"","X21045010","X21105040"
"n",3287,3287
"Min",23,23.2
"Max",39.4,38.2
"Media",30.657,31.576
"Varianza",5.146,5.763
"Desv.Est",2.268,2.401
"Mediana",30.6,31.6
"CV %",7.4,7.603
"NA",286,1774
"NA %",8.701,53.97
