"Date"	"Value"	"Out4Desv"
2005-08-28	NA	NA
2005-08-29	33	NA
2005-08-30	34	NA
2005-08-31	NA	NA
2005-09-01	32	NA
2005-09-02	34	NA
2005-09-03	30	NA
2005-09-04	NA	NA
2005-09-05	NA	NA
2005-09-06	33	NA
2005-09-07	30	NA
2005-09-08	32	NA
2005-09-09	28	NA
2005-09-10	NA	NA
2005-09-11	34	NA
2005-09-12	32	NA
2005-09-13	33	NA
2005-09-14	32	NA
2005-09-15	30	NA
2005-09-16	31	NA
2005-09-17	NA	NA
2005-09-18	NA	NA
2005-09-19	29	NA
2005-09-20	31	NA
2005-09-21	NA	NA
2005-09-22	NA	NA
2005-09-23	31	NA
2005-09-24	33	NA
2005-09-25	31	NA
2005-09-26	30	NA
2005-09-27	30	NA
2005-09-28	33	NA
2005-09-29	NA	NA
2005-09-30	NA	NA
2005-10-01	NA	NA
2005-10-02	30	NA
2005-10-03	33	NA
2005-10-04	30	NA
2005-10-05	32	NA
2005-10-06	29	NA
2005-10-07	33	NA
2005-10-08	29	NA
2005-10-09	NA	NA
2005-10-10	29	NA
2005-10-11	NA	NA
2005-10-12	NA	NA
2005-10-13	29	NA
2005-10-14	31	NA
2005-10-15	29	NA
2005-10-16	NA	NA
2005-10-17	32	NA
2005-10-18	33	NA
2005-10-19	32	NA
2005-10-20	30	NA
2005-10-21	32	NA
2005-10-22	29	NA
2005-10-23	28	NA
2005-10-24	25	NA
2005-10-25	25	NA
2005-10-26	32	NA
2005-10-27	28	NA
2005-10-28	27	NA
2005-10-29	30	NA
2005-10-30	30	NA
2005-10-31	28	NA
2005-11-01	30.1	NA
2005-11-02	30	NA
2005-11-03	31	NA
2005-11-04	31	NA
2005-11-05	33	NA
2005-11-06	33	NA
2005-11-07	30	NA
2005-11-08	33	NA
2005-11-09	30.1	NA
2005-11-10	32	NA
2005-11-11	30.1	NA
2005-11-12	30	NA
2005-11-13	30.2	NA
2005-11-14	30.2	NA
2005-11-15	25	NA
2005-11-16	28.3	NA
2005-11-17	29	NA
