"Date"	"Value"	"Out4Desv"
2005-09-21	64	NA
2005-09-22	76	NA
2005-09-23	80	NA
2005-09-24	NA	NA
2005-09-25	70	NA
2005-09-26	91	NA
2005-09-27	67	NA
2005-09-28	64	NA
2005-09-29	61	NA
2005-09-30	62	NA
2005-10-01	75	NA
2005-10-02	65	NA
2005-10-03	NA	NA
2005-10-04	61	NA
2005-10-05	70	NA
2005-10-06	76	NA
2005-10-07	70	NA
2005-10-08	55	NA
2005-10-09	65	NA
2005-10-10	67	NA
2005-10-11	79	NA
2005-10-12	60	NA
2005-10-13	83	NA
2005-10-14	72	NA
2005-10-15	84	NA
2005-10-16	76	NA
2005-10-17	74	NA
2005-10-18	68	NA
2005-10-19	80	NA
2005-10-20	NA	NA
2005-10-21	59	NA
2005-10-22	83	NA
2005-10-23	83	NA
2005-10-24	95	NA
2005-10-25	97	NA
2005-10-26	77	NA
2005-10-27	82	NA
2005-10-28	92	NA
2005-10-29	81	NA
2005-10-30	82	NA
2005-10-31	89	NA
2005-11-01	75	NA
2005-11-02	68	NA
2005-11-03	68	NA
2005-11-04	89	NA
2005-11-05	68	NA
2005-11-06	68	NA
2005-11-07	76	NA
2005-11-08	75	NA
2005-11-09	74	NA
2005-11-10	78	NA
2005-11-11	88	NA
2005-11-12	82	NA
2005-11-13	95	NA
2005-11-14	81	NA
2005-11-15	94	NA
2005-11-16	84	NA
2005-11-17	78	NA
2005-11-18	77	NA
2005-11-19	75	NA
2005-11-20	78	NA
2005-11-21	83	NA
2005-11-22	88	NA
2005-11-23	87	NA
2005-11-24	78	NA
2005-11-25	78	NA
2005-11-26	75	NA
2005-11-27	79	NA
2005-11-28	75	NA
2005-11-29	72	NA
2005-11-30	74	NA
2005-12-01	75	NA
2005-12-02	77	NA
2005-12-03	84	NA
2005-12-04	86	NA
2005-12-05	88	NA
2005-12-06	86	NA
2005-12-07	76	NA
2005-12-08	93	NA
2005-12-09	85	NA
2005-12-10	72	NA
2005-12-11	73	NA
2005-12-12	82	NA
2005-12-13	78	NA
2005-12-14	88	NA
2005-12-15	82	NA
2005-12-16	76	NA
2005-12-17	89	NA
2005-12-18	90	NA
2005-12-19	83	NA
2005-12-20	82	NA
2005-12-21	81	NA
2005-12-22	81	NA
2005-12-23	89	NA
2005-12-24	92	NA
2005-12-25	88	NA
2005-12-26	82	NA
2005-12-27	81	NA
2005-12-28	81	NA
2005-12-29	73	NA
2005-12-30	75	NA
2005-12-31	68	NA
2006-01-01	NA	NA
2006-01-02	76	NA
2006-01-03	84	NA
2006-01-04	79	NA
2006-01-05	80	NA
2006-01-06	85	NA
2006-01-07	86	NA
2006-01-08	80	NA
2006-01-09	83	NA
2006-01-10	78	NA
2006-01-11	82	NA
2006-01-12	92	NA
2006-01-13	75	NA
2006-01-14	68	NA
2006-01-15	87	NA
2006-01-16	84	NA
2006-01-17	84	NA
2006-01-18	88	NA
2006-01-19	90	NA
2006-01-20	76	NA
2006-01-21	71	NA
2006-01-22	69	NA
2006-01-23	72	NA
2006-01-24	76	NA
2006-01-25	NA	NA
2006-01-26	NA	NA
2006-01-27	79	NA
2006-01-28	69	NA
2006-01-29	78	NA
2006-01-30	63	NA
2006-01-31	78	NA
2006-02-01	88	NA
2006-02-02	77	NA
2006-02-03	73	NA
2006-02-04	94	NA
2006-02-05	88	NA
2006-02-06	82	NA
2006-02-07	77	NA
